X,Y,Emergence days
367487.34545,3195016.9819750004,515
367564.79995,3195381.1859500003,503
367675.954425,3195044.3771,537
367748.1101,3195313.9107,526
367788.12555,3194687.377225,516
367947.47915,3195658.901375,497
367955.123775,3194805.63505,549
368104.22975,3193253.5474,823
368109.552025,3195558.5791,517
368237.74725,3194380.475325,525
368273.21175,3193095.697075,566
368311.7087,3195967.5066,480
368408.46695,3193548.6947250003,828
368427.123775,3194492.38505,555
368458.566775,3196411.232725,473
368476.70195,3196904.7042,756
368489.668225,3195906.902875,515
368495.7372,3193943.147325,823
368555.771125,3197379.861275,735
368582.339925,3193436.31985,566
368637.309125,3196397.82255,505
368677.4199,3196888.854975,502
368692.378175,3193946.122775,561
368712.19345,3197839.5206250004,474
368752.417225,3197348.649475,498
368882.638575,3197791.34755,492
368907.8531,3198295.0046,461
369094.1101,3198237.4729250004,486
369142.003875,3198727.0654,454
369354.745325,3198640.101075,480
369421.25915,3199131.94485,693
369635.9125,3199028.233475,480
369717.2541,3199537.54715,476
369920.433825,3199449.5464000003,480
370005.20822500007,3199946.9432,477
370216.334925,3199856.0436000004,492
370287.9593,3200355.0688,472
370517.53015,3200243.3262500004,482
370587.26585,3200749.95665,474
370831.390075,3200618.7876750003,471
370935.607575,3201091.7411,472
371183.584125,3200930.8092,468
371329.60775,3201368.11345,595
371549.539175,3201187.063825,465
371754.34245,3201604.302675,415
371942.4822,3201420.0982000004,462
372188.3113,3201833.572825,687
372357.776725,3201643.5549250003,459
372382.574925,3226314.423,563
372512.66195,3226555.772375,590
372612.68125,3202067.38445,716
372750.824575,3201866.3166500004,456
372855.8054,3225964.717825,562
372983.083625,3226139.014425,578
373044.6021,3202281.46625,421
373090.644925,3223432.46515,465
373137.093775,3222909.90945,452
373148.4194,3202067.857675,460
373292.556325,3225584.9490750004,561
373323.30605,3223394.1256750003,526
373354.593775,3222986.90945,520
373393.0805,3223973.2498,492
373404.1974,3225728.1042,559
373508.666175,3202451.0009,690
373586.823525,3223874.86715,532
373604.409175,3202232.6751000006,458
373650.410525,3225129.951975,560
373690.781675,3224542.1001,529
373702.826125,3222546.6582,595
373815.297075,3222714.729675,516
373825.380675,3225220.205075,554
373907.13385,3224495.852125,542
373991.528775,3202593.796025,702
374095.610975,3202379.0461500003,458
374423.169775,3222352.1561,511
374466.418125,3202773.901375,542
374472.140725,3222547.227575,514
374593.204925,3202566.4418,459
374900.6702749999,3203027.0786,455
375028.5658,3222180.65735,503
375050.59905,3202809.8932000003,455
375096.5658,3222393.40735,508
375304.7981,3203294.4444500003,457
375446.697225,3203042.54035,454
375644.556575,3221999.305975,495
375694.556575,3222230.3059750004,500
375738.30845,3203469.6572750006,457
375841.565175,3203221.3572,453
376214.25275,3203547.10515,469
376218.4064,3221750.805325,493
376284.86285,3203340.795125,453
376311.2781,3221955.627725,485
376670.4582,3221411.095775,482
376679.3129500001,3203719.6415,455
376777.70275,3203556.114825,454
376851.7154,3221570.286575,478
377041.68105,3204090.68525,450
377049.7904,3220982.907775,479
377229.140425,3203961.88455,453
377246.796675,3221136.6163,474
377285.428125,3204547.0209,450
377409.9182,3220448.789825,473
377500.130275,3205005.588075,445
377526.70635,3204436.2883,451
377639.288975,3220585.1299500004,469
377718.84325,3205453.766425,439
377729.548925,3219900.944525,467
377750.068025,3204906.8973250003,450
377953.571325,3205877.606525,433
378000.298925,3220010.444525,463
378001.095575,3205338.48025,449
378069.147025,3219318.860675,458
378260.026425,3206254.7119500004,428
378269.485,3205714.0432,446
378341.147025,3219449.110675,459
378467.6268,3218749.8968,454
378581.207725,3206066.3259500004,441
378624.7513,3206592.7972500003,440
378723.6268,3218927.1468,456
378872.7092,3218239.58725,456
378927.3388,3206419.72255,441
378995.90285,3206939.133825,432
379164.9592,3218407.08725,456
379251.536825,3217712.164675,455
379294.76209999993,3206797.371775,436
379301.9135,3207335.69,432
379499.290825,3216375.84315,452
379503.565825,3216728.69315,453
379516.55995,3217260.722325,455
379522.58045,3207778.3172750003,431
379589.86245,3207220.521425,433
379610.536825,3217850.664675,458
379657.375,3216079.1250000005,448
379687.35,3216957.875,454
379695.330275,3216389.347725,446
379702.605275,3216606.9227250004,448
379732.95275,3208231.028875,429
379801.3000000001,3216206.7,444
379803.8077,3207664.327475,430
379833.55,3216749.575,452
379896.93495,3217393.497325,456
379962.2093,3208675.8443,431
379986.3000000001,3215963.625,445
380016.725,3217052.675,456
380018.860625,3208116.190925,478
380064.175,3216796.15,453
380083.1,3216119.0,445
380168.704,3209130.221975,430
380251.90705,3208563.055975,427
380397.0906,3215910.3424,446
380404.28915,3209601.156225,431
380420.730025,3216728.300525,449
380435.432375,3216959.29095,448
380490.375,3216067.55,445
380499.09985,3209003.89645,427
380741.8998,3210036.8919,429
380757.25092500006,3209463.2266,430
380845.176825,3215861.324825,445
380906.65532500006,3216671.080425,449
380919.59405,3216846.03795,450
380943.15,3216024.6500000004,443
381038.34125,3209910.589775,431
