X,Y,Emergence days
367487.34545,3195016.9819750004,142
367564.79995,3195381.1859500003,146
367675.954425,3195044.3771,118
367748.1101,3195313.9107,124
367788.12555,3194687.377225,132
367947.47915,3195658.901375,150
367955.123775,3194805.63505,111
368104.22975,3193253.5474,113
368109.552025,3195558.5791,131
368237.74725,3194380.475325,124
368273.21175,3193095.697075,90
368311.7087,3195967.5066,160
368408.46695,3193548.6947250003,104
368427.123775,3194492.38505,103
368458.566775,3196411.232725,159
368476.70195,3196904.7042,135
368489.668225,3195906.902875,138
368495.7372,3193943.147325,123
368555.771125,3197379.861275,148
368582.339925,3193436.31985,90
368637.309125,3196397.82255,145
368677.4199,3196888.854975,148
368692.378175,3193946.122775,97
368712.19345,3197839.5206250004,168
368752.417225,3197348.649475,148
368882.638575,3197791.34755,150
368907.8531,3198295.0046,167
369094.1101,3198237.4729250004,152
369142.003875,3198727.0654,162
369354.745325,3198640.101075,161
369421.25915,3199131.94485,357
369635.9125,3199028.233475,161
369717.2541,3199537.54715,165
369920.433825,3199449.5464000003,163
370005.20822500007,3199946.9432,169
370216.334925,3199856.0436000004,191
370287.9593,3200355.0688,169
370517.53015,3200243.3262500004,214
370587.26585,3200749.95665,170
370831.390075,3200618.7876750003,170
370935.607575,3201091.7411,169
371183.584125,3200930.8092,169
371329.60775,3201368.11345,176
371549.539175,3201187.063825,165
371754.34245,3201604.302675,151
371942.4822,3201420.0982000004,167
372188.3113,3201833.572825,342
372357.776725,3201643.5549250003,164
372382.574925,3226314.423,90
372512.66195,3226555.772375,105
372612.68125,3202067.38445,330
372750.824575,3201866.3166500004,165
372855.8054,3225964.717825,94
372983.083625,3226139.014425,128
373044.6021,3202281.46625,177
373090.644925,3223432.46515,174
373137.093775,3222909.90945,177
373148.4194,3202067.857675,163
373292.556325,3225584.9490750004,98
373323.30605,3223394.1256750003,128
373354.593775,3222986.90945,138
373393.0805,3223973.2498,151
373404.1974,3225728.1042,140
373508.666175,3202451.0009,355
