X,Y,Emergence days
367487.34545,3195016.9819750004,205
367564.79995,3195381.1859500003,208
367675.954425,3195044.3771,188
367748.1101,3195313.9107,191
367788.12555,3194687.377225,200
367947.47915,3195658.901375,215
367955.123775,3194805.63505,186
368104.22975,3193253.5474,181
368109.552025,3195558.5791,200
368237.74725,3194380.475325,192
368273.21175,3193095.697075,173
368311.7087,3195967.5066,222
368408.46695,3193548.6947250003,229
368427.123775,3194492.38505,182
368458.566775,3196411.232725,222
368476.70195,3196904.7042,375
368489.668225,3195906.902875,203
368495.7372,3193943.147325,418
368555.771125,3197379.861275,390
368582.339925,3193436.31985,173
368637.309125,3196397.82255,209
368677.4199,3196888.854975,210
368692.378175,3193946.122775,176
368712.19345,3197839.5206250004,226
368752.417225,3197348.649475,213
368882.638575,3197791.34755,215
368907.8531,3198295.0046,231
369094.1101,3198237.4729250004,218
369142.003875,3198727.0654,218
369354.745325,3198640.101075,223
369421.25915,3199131.94485,408
369635.9125,3199028.233475,225
369717.2541,3199537.54715,228
369920.433825,3199449.5464000003,227
370005.20822500007,3199946.9432,229
370216.334925,3199856.0436000004,252
370287.9593,3200355.0688,227
370517.53015,3200243.3262500004,268
370587.26585,3200749.95665,234
370831.390075,3200618.7876750003,228
370935.607575,3201091.7411,233
371183.584125,3200930.8092,230
371329.60775,3201368.11345,243
371549.539175,3201187.063825,228
371754.34245,3201604.302675,205
371942.4822,3201420.0982000004,225
372188.3113,3201833.572825,390
372357.776725,3201643.5549250003,225
372382.574925,3226314.423,173
372512.66195,3226555.772375,182
372612.68125,3202067.38445,368
372750.824575,3201866.3166500004,226
372855.8054,3225964.717825,177
372983.083625,3226139.014425,204
373044.6021,3202281.46625,230
373090.644925,3223432.46515,231
373137.093775,3222909.90945,233
373148.4194,3202067.857675,227
373292.556325,3225584.9490750004,180
373323.30605,3223394.1256750003,200
373354.593775,3222986.90945,211
373393.0805,3223973.2498,220
373404.1974,3225728.1042,215
373508.666175,3202451.0009,396
373586.823525,3223874.86715,199
373604.409175,3202232.6751000006,225
373650.410525,3225129.951975,180
373690.781675,3224542.1001,198
373702.826125,3222546.6582,202
373815.297075,3222714.729675,212
373825.380675,3225220.205075,189
373907.13385,3224495.852125,195
373991.528775,3202593.796025,393
374095.610975,3202379.0461500003,224
374423.169775,3222352.1561,213
374466.418125,3202773.901375,232
374472.140725,3222547.227575,212
374593.204925,3202566.4418,225
374900.6702749999,3203027.0786,219
375028.5658,3222180.65735,214
375050.59905,3202809.8932000003,228
375096.5658,3222393.40735,212
375304.7981,3203294.4444500003,217
375446.697225,3203042.54035,269
375644.556575,3221999.305975,222
375694.556575,3222230.3059750004,219
375738.30845,3203469.6572750006,218
375841.565175,3203221.3572,225
376214.25275,3203547.10515,311
376218.4064,3221750.805325,224
376284.86285,3203340.795125,222
376311.2781,3221955.627725,223
376670.4582,3221411.095775,227
376679.3129500001,3203719.6415,222
376777.70275,3203556.114825,221
376851.7154,3221570.286575,228
377041.68105,3204090.68525,223
377049.7904,3220982.907775,229
377229.140425,3203961.88455,220
377246.796675,3221136.6163,229
377285.428125,3204547.0209,225
377409.9182,3220448.789825,232
377500.130275,3205005.588075,220
377526.70635,3204436.2883,219
377639.288975,3220585.1299500004,232
377718.84325,3205453.766425,216
377729.548925,3219900.944525,234
377750.068025,3204906.8973250003,220
377953.571325,3205877.606525,215
378000.298925,3220010.444525,233
378001.095575,3205338.48025,222
378069.147025,3219318.860675,237
378260.026425,3206254.7119500004,219
378269.485,3205714.0432,220
378341.147025,3219449.110675,236
378467.6268,3218749.8968,242
378581.207725,3206066.3259500004,221
378624.7513,3206592.7972500003,219
378723.6268,3218927.1468,240
378872.7092,3218239.58725,244
378927.3388,3206419.72255,221
378995.90285,3206939.133825,216
379164.9592,3218407.08725,242
379251.536825,3217712.164675,245
379294.76209999993,3206797.371775,220
379301.9135,3207335.69,217
379499.290825,3216375.84315,244
379503.565825,3216728.69315,241
379516.55995,3217260.722325,247
379522.58045,3207778.3172750003,216
379589.86245,3207220.521425,223
379610.536825,3217850.664675,242
379657.375,3216079.1250000005,243
379687.35,3216957.875,241
379695.330275,3216389.347725,241
379702.605275,3216606.9227250004,241
379732.95275,3208231.028875,216
379801.3000000001,3216206.7,243
379803.8077,3207664.327475,222
379833.55,3216749.575,241
379896.93495,3217393.497325,243
379962.2093,3208675.8443,214
379986.3000000001,3215963.625,243
380016.725,3217052.675,242
380018.860625,3208116.190925,233
380064.175,3216796.15,243
380083.1,3216119.0,237
380168.704,3209130.221975,210
380251.90705,3208563.055975,213
380397.0906,3215910.3424,240
380404.28915,3209601.156225,209
380420.730025,3216728.300525,243
380435.432375,3216959.29095,241
380490.375,3216067.55,232
380499.09985,3209003.89645,218
380741.8998,3210036.8919,209
380757.25092500006,3209463.2266,216
380845.176825,3215861.324825,237
380906.65532500006,3216671.080425,241
380919.59405,3216846.03795,237
380943.15,3216024.6500000004,231
381038.34125,3209910.589775,217
381067.13765,3210432.990375,211
381297.579325,3210790.8656,212
381304.0536,3210333.4830750003,217
381369.4617,3215805.973025,233
381392.09655,3216923.826925,237
381403.57435,3216736.30965,240
381451.550475,3215966.8906,230
381511.579475,3211172.6864,220
381514.396425,3210716.3810249995,214
381621.905675,3222289.8685250003,558
381712.666725,3211114.85875,213
381722.41515,3211629.1036,203
381830.39415,3215644.696625,230
381842.188125,3217109.7915000003,228
381873.715175,3216905.00595,238
381891.902125,3212092.27125,208
381913.58655,3211584.955925,214
381927.96915,3215783.896625,226
381951.736725,3222201.0936,526
382076.3627750001,3212038.365375,214
382080.2367,3212520.3871750003,205
382147.82595,3215376.629875,230
382214.16383333335,3222134.9463,284
382245.7618,3217406.903125,224
382262.8623,3212404.7287250003,214
382306.316125,3217231.3512000004,232
382325.123125,3215467.060275,225
382349.3813666666,3222299.4016333334,180
382356.760175,3221901.386975,266
382373.006475,3212837.243325,203
382437.163875,3215040.6410250003,225
382497.0489,3212656.09255,214
382557.13145,3222148.715375,160
382586.937225,3217784.54455,220
382594.366375,3221700.29015,268
382661.620725,3215113.190375,222
382677.75,3217633.75,228
382710.421075,3214667.381375,224
382720.7693666667,3221880.6791,274
382730.6556,3222027.474533333,278
382747.129675,3212975.3473500004,201
382787.225275,3212752.41695,212
382820.7562,3221551.5604,262
382848.259525,3218151.787525,218
382850.8238333333,3221353.6843666662,258
382857.74703333335,3229875.5505333333,257
382919.3878,3221830.9777666666,261
382934.4434,3214746.1472250004,221
382948.3997,3222066.5279000006,271
382958.27725,3214277.175275,220
382968.8392666667,3221663.5625,260
382974.83085,3218037.559525,228
383002.17992500006,3222241.641375,288
383030.83085,3218579.809525,214
383037.0546,3221260.2100333334,258
383051.32543333335,3221052.568833334,256
383054.6947666667,3221936.6117,263
383064.2281,3222449.145433333,3
383065.5237333333,3230216.7216,141
383087.6864,3213045.1220000004,207
383101.89155000006,3213396.9322500005,215
383110.013425,3213849.37415,217
383111.5705,3212788.077825,212
383164.0765,3221595.823033333,256
383168.626275,3214354.1148499995,217
383171.5,3219074.5,211
383196.0,3212440.0,211
383202.2242,3221390.3466,255
383204.08085,3218503.809525,222
383275.6761,3220878.9368,257
383286.310175,3219532.7179,209
383288.9349666666,3222187.258533334,91
383290.18845,3221811.876725,254
383310.4586,3213924.579475,213
383337.838625,3222417.570075,36
383345.0,3218981.75,216
383347.351675,3213472.94655,215
383355.67265,3213126.2583500003,210
383379.005425,3212872.412525,206
383397.7646333333,3222043.795433333,260
383400.0697666667,3221315.432733333,255
383433.560175,3219430.4679,213
383442.1249666666,3221101.3034666665,250
383442.8425,3219990.363275,209
383455.124,3230338.5092333336,179
383456.0,3212606.75,206
383513.8851333333,3221664.1804333334,257
383518.763875,3220605.781575,380
383548.08423333336,3221453.416966667,260
383585.310175,3219869.7179,212
383588.9246333333,3230729.1571333334,19
383619.0,3212200.5,210
383649.009925,3231890.136175,12
383654.5538,3221031.3027333333,388
383686.5345,3231451.3184333337,32
383691.9158333333,3221742.5560000003,264
383693.5305,3221982.98295,264
383717.2599666666,3230033.149966667,162
383717.9366666667,3220819.1064666663,495
383726.7287666667,3222222.370933333,141
383732.25,3212447.5,208
383745.1267333333,3221404.604766667,285
383793.5556333333,3233037.146466667,264
383828.8201666667,3220430.3755,370
383882.995025,3220262.638325,208
383894.539525,3221174.944275,633
383917.2901,3221586.4924000003,198
383948.4627,3220121.24295,212
384012.735975,3222245.5676,384
384039.308675,3220666.4738,733
384050.875775,3221956.19285,268
384065.9304333334,3230161.3510333337,221
384065.9635333333,3231215.461233333,125
384085.0853666666,3221743.3585,239
384094.52175,3230702.5598250004,354
384095.4794333333,3220933.4226333336,528
384127.2083333333,3221288.0043,614
384127.5284,3221454.296266667,549
384156.9365333333,3232876.9370000004,265
384177.125,3214709.375,201
384178.5,3212551.5,207
384184.9326666666,3232493.2127666664,391
384223.3879333334,3231832.802,91
384229.5,3212316.5,208
384246.3860333334,3221685.656200001,272
384269.8172666666,3221523.7817333336,538
384283.7970333334,3220975.4082333334,783
384285.128675,3215139.625225,200
384290.0040333333,3221187.9436333333,554
384298.0,3214327.75,199
384325.14017500007,3222363.079025,180
384335.7790666666,3221991.7016000003,261
384337.2562666666,3229886.3769666664,36
384351.375,3214707.125,197
384414.0395666666,3221451.2374333334,554
384422.413425,3215564.3105999995,201
384432.4006666667,3222144.7248333334,251
384434.5464000001,3221281.6913000005,737
384435.712,3221792.3418000005,260
384436.15210000006,3220069.349225,212
384453.3125333334,3220916.4324666667,472
384455.0,3214401.25,196
384463.011825,3220632.1368,338
384472.376225,3215098.54175,195
384491.657725,3215952.808625,201
384500.4627,3220212.74295,207
384516.8231666667,3221567.7911999994,276
384535.7266333333,3223570.006766666,264
384550.6968,3222493.5164,166
384555.8691666666,3222708.749533333,137
384559.513375,3231428.802775,248
384576.7762,3216330.711225,201
384588.0,3220357.6666666665,240
384593.253725,3232228.392475,101
384596.5513,3230588.0029666666,267
384615.804475,3215535.436875,198
384621.29775,3221151.457275,221
384660.0,3214014.375,199
