X,Y,Emergence days
367487.34545,3195016.9819750004,490
367564.79995,3195381.1859500003,485
367675.954425,3195044.3771,492
367748.1101,3195313.9107,494
367788.12555,3194687.377225,491
367947.47915,3195658.901375,476
367955.123775,3194805.63505,491
368104.22975,3193253.5474,753
368109.552025,3195558.5791,493
368237.74725,3194380.475325,493
368273.21175,3193095.697075,494
368311.7087,3195967.5066,463
368408.46695,3193548.6947250003,763
368427.123775,3194492.38505,492
368458.566775,3196411.232725,449
368476.70195,3196904.7042,575
368489.668225,3195906.902875,492
368495.7372,3193943.147325,760
368555.771125,3197379.861275,587
368582.339925,3193436.31985,494
368637.309125,3196397.82255,488
368677.4199,3196888.854975,486
368692.378175,3193946.122775,493
368712.19345,3197839.5206250004,456
368752.417225,3197348.649475,485
368882.638575,3197791.34755,482
368907.8531,3198295.0046,437
369094.1101,3198237.4729250004,478
369142.003875,3198727.0654,433
369354.745325,3198640.101075,471
369421.25915,3199131.94485,555
369635.9125,3199028.233475,466
369717.2541,3199537.54715,461
369920.433825,3199449.5464000003,467
370005.20822500007,3199946.9432,458
370216.334925,3199856.0436000004,504
370287.9593,3200355.0688,452
370517.53015,3200243.3262500004,517
370587.26585,3200749.95665,452
370831.390075,3200618.7876750003,466
370935.607575,3201091.7411,448
371183.584125,3200930.8092,451
371329.60775,3201368.11345,447
371549.539175,3201187.063825,448
371754.34245,3201604.302675,374
371942.4822,3201420.0982000004,446
372188.3113,3201833.572825,532
372357.776725,3201643.5549250003,442
372382.574925,3226314.423,496
372512.66195,3226555.772375,496
372612.68125,3202067.38445,732
372750.824575,3201866.3166500004,441
372855.8054,3225964.717825,494
372983.083625,3226139.014425,528
373044.6021,3202281.46625,436
373090.644925,3223432.46515,484
373137.093775,3222909.90945,453
373148.4194,3202067.857675,440
373292.556325,3225584.9490750004,494
373323.30605,3223394.1256750003,496
373354.593775,3222986.90945,498
373393.0805,3223973.2498,498
373404.1974,3225728.1042,529
373508.666175,3202451.0009,691
373586.823525,3223874.86715,493
373604.409175,3202232.6751000006,442
373650.410525,3225129.951975,494
373690.781675,3224542.1001,494
373702.826125,3222546.6582,589
373815.297075,3222714.729675,498
373825.380675,3225220.205075,493
373907.13385,3224495.852125,493
373991.528775,3202593.796025,544
374095.610975,3202379.0461500003,436
374423.169775,3222352.1561,499
374466.418125,3202773.901375,471
374472.140725,3222547.227575,499
374593.204925,3202566.4418,435
374900.6702749999,3203027.0786,432
375028.5658,3222180.65735,502
375050.59905,3202809.8932000003,433
375096.5658,3222393.40735,500
375304.7981,3203294.4444500003,430
375446.697225,3203042.54035,485
375644.556575,3221999.305975,502
375694.556575,3222230.3059750004,502
375738.30845,3203469.6572750006,427
375841.565175,3203221.3572,433
376214.25275,3203547.10515,452
376218.4064,3221750.805325,503
376284.86285,3203340.795125,434
376311.2781,3221955.627725,502
376670.4582,3221411.095775,505
376679.3129500001,3203719.6415,430
376777.70275,3203556.114825,435
376851.7154,3221570.286575,502
377041.68105,3204090.68525,428
377049.7904,3220982.907775,502
377229.140425,3203961.88455,432
377246.796675,3221136.6163,499
377285.428125,3204547.0209,427
377409.9182,3220448.789825,498
377500.130275,3205005.588075,422
377526.70635,3204436.2883,432
377639.288975,3220585.1299500004,491
377718.84325,3205453.766425,417
377729.548925,3219900.944525,491
377750.068025,3204906.8973250003,431
377953.571325,3205877.606525,406
378000.298925,3220010.444525,480
378001.095575,3205338.48025,423
378069.147025,3219318.860675,483
378260.026425,3206254.7119500004,399
378269.485,3205714.0432,416
378341.147025,3219449.110675,474
378467.6268,3218749.8968,476
378581.207725,3206066.3259500004,412
378624.7513,3206592.7972500003,393
378723.6268,3218927.1468,470
378872.7092,3218239.58725,470
378927.3388,3206419.72255,413
378995.90285,3206939.133825,408
379164.9592,3218407.08725,465
379251.536825,3217712.164675,465
379294.76209999993,3206797.371775,408
379301.9135,3207335.69,407
379499.290825,3216375.84315,451
379503.565825,3216728.69315,454
379516.55995,3217260.722325,461
379522.58045,3207778.3172750003,409
379589.86245,3207220.521425,408
379610.536825,3217850.664675,461
379657.375,3216079.1250000005,448
379687.35,3216957.875,456
379695.330275,3216389.347725,446
379702.605275,3216606.9227250004,449
379732.95275,3208231.028875,413
379801.3000000001,3216206.7,447
379803.8077,3207664.327475,407
379833.55,3216749.575,454
379896.93495,3217393.497325,458
379962.2093,3208675.8443,412
379986.3000000001,3215963.625,447
380016.725,3217052.675,454
380018.860625,3208116.190925,419
380064.175,3216796.15,450
380083.1,3216119.0,444
380168.704,3209130.221975,409
380251.90705,3208563.055975,409
380397.0906,3215910.3424,445
380404.28915,3209601.156225,408
380420.730025,3216728.300525,444
380435.432375,3216959.29095,441
380490.375,3216067.55,441
380499.09985,3209003.89645,404
380741.8998,3210036.8919,406
380757.25092500006,3209463.2266,404
380845.176825,3215861.324825,441
380906.65532500006,3216671.080425,444
380919.59405,3216846.03795,434
380943.15,3216024.6500000004,438
381038.34125,3209910.589775,402
381067.13765,3210432.990375,404
381297.579325,3210790.8656,404
381304.0536,3210333.4830750003,401
381369.4617,3215805.973025,438
381392.09655,3216923.826925,431
381403.57435,3216736.30965,438
381451.550475,3215966.8906,435
381511.579475,3211172.6864,416
381514.396425,3210716.3810249995,401
381621.905675,3222289.8685250003,79
381712.666725,3211114.85875,401
381722.41515,3211629.1036,516
381830.39415,3215644.696625,435
381842.188125,3217109.7915000003,429
381873.715175,3216905.00595,434
381891.902125,3212092.27125,400
